Match Identifier,Top Player Prefix,Top Player Name,Top Player Stocks,Top Player Character,Top Player Character IDs,Top Player DQ,Bottom Player Prefix,Bottom Player Name,Bottom Player Stocks,Bottom Player Character,Bottom Player Character IDs,Bottom Player DQ
A,,Shea Flaherty Betin,0,,,false,,Baddietrash,1,,,false
B,,Ryan Waisner,1,,,false,,Scott W.,0,,,false
C,,Chelsea Williams,0,,,false,,Jason Galhinaotia,1,,,false
D,,Justin Hadley,1,,,false,,Adam Babe,0,,,false
E,,Jason Bother,0,,,false,,Brandon Johnson,1,,,false
F,,Lev Bakin,1,,,false,,Heather Davis,0,,,false
G,,Tyler Molony,1,,,false,,Aaron,0,,,false
H,,Johnmark Faris,0,,,false,,Jared M.,1,,,false
I,,Ryan S.,0,,,false,,Chris Baldwin,1,,,false
J,,Dylan Conrad,1,,,false,,Steve,0,,,false
K,,Vanessa Rhodes,0,,,false,,Tyler Vane,1,,,false
L,,Colby Price,1,,,false,,Baddietrash,0,,,false
M,,Ryan Waisner,1,,,false,,Jason Galhinaotia,0,,,false
N,,Alexander Parrish,1,,,false,,Justin Hadley,0,,,false
O,,David Cantrell,0,,,false,,Brandon Johnson,1,,,false
P,,Alex Jaspersen,0,,,false,,Lev Bakin,1,,,false
Q,,Tyler Molony,1,,,false,,Jared M.,0,,,false
R,,Josh Eklow,0,,,false,,Chris Baldwin,1,,,false
S,,Dylan Conrad,1,,,false,,Tyler Vane,0,,,false
T,,Colby Price,1,,,false,,Ryan Waisner,0,,,false
U,,Alexander Parrish,0,,,false,,Brandon Johnson,1,,,false
V,,Lev Bakin,0,,,false,,Tyler Molony,1,,,false
W,,Chris Baldwin,0,,,false,,Dylan Conrad,1,,,false
X,,Colby Price,0,,,false,,Brandon Johnson,1,,,false
Y,,Tyler Molony,0,,,false,,Dylan Conrad,1,,,false
Z,,Brandon Johnson,1,,,false,,Dylan Conrad,0,,,false
