Match Identifier,Top Player Prefix,Top Player Name,Top Player Stocks,Top Player Character,Top Player Character IDs,Top Player DQ,Bottom Player Prefix,Bottom Player Name,Bottom Player Stocks,Bottom Player Character,Bottom Player Character IDs,Bottom Player DQ
A,,Kasi White,1,,,false,,Dan Recht,2,,,false
B,,Mark Nelson,2,,,false,,heather davis,1,,,false
C,,Alyssa DeMoss,2,,,false,,Ed Gotthardt,1,,,false
D,,Brett,2,,,false,,Tiana Tan,1,,,false
E,,Hugo Meneses,0,,,false,,Dan Recht,2,,,false
F,,Scott Wilkewitz,2,,,false,,ANDREW WILKENING,1,,,false
G,,Steve Halili,0,,,false,,Mark Nelson,2,,,false
H,,Felix Yuan,2,,,false,,Flo,0,,,false
I,,Colby Price,2,,,false,,Alyssa DeMoss,1,,,false
J,,Aaron Tran,1,,,false,,Samantha Weddle,2,,,false
K,,Reed,0,,,false,,Brett,2,,,false
L,,Alex Jaspersen,2,,,false,,Josh B,1,,,false
M,,Dan Recht,0,,,false,,Scott Wilkewitz,2,,,false
N,,Mark Nelson,0,,,false,,Felix Yuan,2,,,false
O,,Colby Price,2,,,false,,Samantha Weddle,1,,,false
P,,Brett,0,,,false,,Alex Jaspersen,2,,,false
Q,,Scott Wilkewitz,2,,,false,,Felix Yuan,1,,,false
R,,Colby Price,2,,,false,,Alex Jaspersen,0,,,false
S,,Scott Wilkewitz,0,,,false,,Colby Price,2,,,false
V,,Josh B,1,,,false,,Kasi White,0,,,false
W,,Aaron Tran,0,,,false,,heather davis,1,,,false
X,,Flo,0,,,false,,Ed Gotthardt,1,,,false
Y,,ANDREW WILKENING,0,,,false,,Tiana Tan,1,,,false
Z,,Reed,1,,,false,,Josh B,0,,,false
AA,,Alyssa DeMoss,0,,,false,,heather davis,1,,,false
AB,,Steve Halili,0,,,false,,Ed Gotthardt,1,,,false
AC,,Hugo Meneses,1,,,false,,Tiana Tan,0,,,false
AD,,Mark Nelson,0,,,false,,Reed,1,,,false
AE,,Dan Recht,1,,,false,,heather davis,0,,,false
AF,,Brett,0,,,false,,Ed Gotthardt,1,,,false
AG,,Samantha Weddle,0,,,false,,Hugo Meneses,1,,,false
AH,,Reed,0,,,false,,Dan Recht,1,,,false
AI,,Ed Gotthardt,1,,,false,,Hugo Meneses,0,,,false
AJ,,Alex Jaspersen,0,,,false,,Dan Recht,1,,,false
AK,,Felix Yuan,1,,,false,,Ed Gotthardt,0,,,false
AL,,Dan Recht,0,,,false,,Felix Yuan,1,,,false
AM,,Scott Wilkewitz,0,,,false,,Felix Yuan,1,,,false
T,,Colby Price,2,,,false,,Felix Yuan,1,,,false
