Match Identifier,Top Player Prefix,Top Player Name,Top Player Stocks,Top Player Character,Top Player Character IDs,Top Player DQ,Bottom Player Prefix,Bottom Player Name,Bottom Player Stocks,Bottom Player Character,Bottom Player Character IDs,Bottom Player DQ
A,,Kristen,3,,,false,,Eric,"1,3",,,false
B,,Ross,3,,,false,,Brian,"0,3",,,false
C,,Nathan,3,,,false,,Matt,"0,3",,,false
D,,David,3,,,false,,Jordan,"0,3",,,false
E,,Kristen,0,,,false,,Ross,"3,2",,,false
F,,Nathan,3,,,false,,David,"2,3",,,false
G,,Ross,2,,,false,,Nathan,"3,3",,,false
J,,Eric,1,,,false,,Brian,"3,2",,,false
K,,Matt,1,,,false,,Jordan,0,,,false
L,,David,3,,,false,,Brian,"0,3",,,false
M,,Kristen,0,,,false,,Matt,"3,2",,,false
N,,David,2,,,false,,Matt,"3,3",,,false
O,,Ross,3,,,false,,Matt,"0,1",,,false
H,,Nathan,1,,,false,,Ross,"3,2",,,false
I,,Ross,2,,,false,,Nathan,"3,1",,,false
