Match Identifier,Top Player Prefix,Top Player Name,Top Player Stocks,Top Player Character,Top Player Character IDs,Top Player DQ,Bottom Player Prefix,Bottom Player Name,Bottom Player Stocks,Bottom Player Character,Bottom Player Character IDs,Bottom Player DQ
A,,Corley,1,,,false,,Megan,0,,,false
B,,Mander,0,,,false,,Micah,1,,,false
C,,Brian,0,,,false,,Blake,1,,,false
D,,Skelley,1,,,false,,Josh,0,,,false
E,,Ducky,0,,,false,,Warner,1,,,false
F,,Ryan,0,,,false,,Matthew,1,,,false
G,,Jen,0,,,false,,Corley,1,,,false
H,,Micah,1,,,false,,Blake,0,,,false
I,,Duncan,0,,,false,,Skelley,1,,,false
J,,Warner,1,,,false,,Matthew,0,,,false
K,,Corley,0,,,false,,Micah,1,,,false
L,,Skelley,0,,,false,,Warner,1,,,false
M,,Micah,1,,,false,,Warner,0,,,false
P,,Mander,0,,,false,,Brian,1,,,false
Q,,Ducky,1,,,false,,Ryan,0,,,false
R,,Matthew,1,,,false,,Megan,0,,,false
S,,Duncan,0,,,false,,Brian,1,,,false
T,,Blake,1,,,false,,Josh,0,,,false
U,,Jen,0,,,false,,Ducky,1,,,false
V,,Matthew,1,,,false,,Brian,0,,,false
W,,Blake,0,,,false,,Ducky,1,,,false
X,,Corley,1,,,false,,Matthew,0,,,false
Y,,Skelley,0,,,false,,Ducky,1,,,false
Z,,Corley,0,,,false,,Ducky,12,,,false
AA,,Warner,1,,,false,,Ducky,0,,,false
N,,Micah,0,,,false,,Warner,1,,,false
O,,Warner,1,,,false,,Micah,0,,,false
