Match Identifier,Top Player Prefix,Top Player Name,Top Player Stocks,Top Player Character,Top Player Character IDs,Top Player DQ,Bottom Player Prefix,Bottom Player Name,Bottom Player Stocks,Bottom Player Character,Bottom Player Character IDs,Bottom Player DQ
A,,Marco,0,,,false,,Micah,1,,,false
B,,Wes,0,,,false,,Skelley,1,,,false
C,,Corley,1,,,false,,Logan,0,,,false
D,,Given,1,,,false,,Jen,0,,,false
E,,Amanda,0,,,false,,Laura,1,,,false
F,,Jen,0,,,false,,Amanda,1,,,false
G,,Logan,1,,,false,,Given,0,,,false
H,,Skelley,0,,,false,,Corley,1,,,false
I,,Micah,0,,,false,,Wes,1,,,false
J,,Grace,0,,,false,,Marco,1,,,false
K,,Wes,1,,,false,,Grace,0,,,false
L,,Corley,1,,,false,,Micah,0,,,false
M,,Given,0,,,false,,Skelley,1,,,false
N,,Amanda,0,,,false,,Logan,1,,,false
O,,Laura,1,,,false,,Jen,0,,,false
P,,Logan,0,,,false,,Laura,1,,,false
Q,,Skelley,1,,,false,,Amanda,0,,,false
R,,Micah,1,,,false,,Given,0,,,false
S,,Grace,0,,,false,,Corley,1,,,false
T,,Marco,0,,,false,,Wes,1,,,false
U,,Corley,1,,,false,,Marco,0,,,false
V,,Given,1,,,false,,Grace,0,,,false
W,,Amanda,1,,,false,,Micah,0,,,false
X,,Laura,0,,,false,,Skelley,1,,,false
Y,,Jen,0,,,false,,Logan,0,,,false
Z,,Skelley,0,,,false,,Jen,0,,,false
AA,,Micah,1,,,false,,Laura,0,,,false
AB,,Grace,0,,,false,,Amanda,1,,,false
AC,,Marco,0,,,false,,Given,1,,,false
AD,,Wes,0,,,false,,Corley,1,,,false
AE,,Given,0,,,false,,Wes,1,,,false
AF,,Amanda,0,,,false,,Marco,0,,,false
AG,,Laura,1,,,false,,Grace,0,,,false
AH,,Jen,0,,,false,,Micah,0,,,false
AI,,Logan,0,,,false,,Skelley,1,,,false
AJ,,Micah,0,,,false,,Logan,1,,,false
AK,,Grace,0,,,false,,Jen,0,,,false
AL,,Marco,0,,,false,,Laura,1,,,false
AM,,Wes,0,,,false,,Amanda,0,,,false
AN,,Corley,0,,,false,,Given,0,,,false
AO,,Amanda,0,,,false,,Corley,0,,,false
AP,,Laura,0,,,false,,Wes,1,,,false
AQ,,Jen,0,,,false,,Marco,0,,,false
AR,,Logan,0,,,false,,Grace,0,,,false
AS,,Skelley,1,,,false,,Micah,0,,,false
AT,,Grace,0,,,false,,Skelley,0,,,false
AU,,Marco,1,,,false,,Logan,0,,,false
AV,,Wes,0,,,false,,Jen,0,,,false
AW,,Corley,1,,,false,,Laura,0,,,false
AX,,Given,0,,,false,,Amanda,0,,,false
AY,,Laura,0,,,false,,Given,0,,,false
AZ,,Jen,0,,,false,,Corley,0,,,false
BA,,Logan,0,,,false,,Wes,1,,,false
BB,,Skelley,1,,,false,,Marco,0,,,false
BC,,Micah,0,,,false,,Grace,0,,,false
