Match Identifier,Top Player Prefix,Top Player Name,Top Player Stocks,Top Player Character,Top Player Character IDs,Top Player DQ,Bottom Player Prefix,Bottom Player Name,Bottom Player Stocks,Bottom Player Character,Bottom Player Character IDs,Bottom Player DQ
A,,Amanda,0,,,false,,Justin,3,,,false
B,,doodooheadjones,0,,,false,,Marco,3,,,false
C,,Corley,2,,,false,,somewes,0,,,false
D,,Micah,2,,,false,,Ducky,0,,,false
E,,somewes,2,,,false,,Micah,0,,,false
F,,Ducky,2,,,false,,Amanda,0,,,false
G,,Marco,0,,,false,,Corley,3,,,false
H,,Justin,0,,,false,,doodooheadjones,1,,,false
I,,Micah,2,,,false,,Marco,0,,,false
J,,Corley,1,,,false,,Justin,0,,,false
K,,Amanda,0,,,false,,doodooheadjones,1,,,false
L,,Ducky,0,,,false,,somewes,3,,,false
M,,doodooheadjones,0,,,false,,Corley,3,,,false
N,,Marco,0,,,false,,Ducky,2,,,false
O,,Justin,0,,,false,,Micah,1,,,false
P,,somewes,3,,,false,,Amanda,0,,,false
Q,,somewes,2,,,false,,Marco,0,,,false
R,,Micah,3,,,false,,doodooheadjones,0,,,false
S,,Ducky,2,,,false,,Justin,0,,,false
T,,Amanda,0,,,false,,Corley,3,,,false
U,,doodooheadjones,0,,,false,,Ducky,2,,,false
V,,Justin,0,,,false,,somewes,2,,,false
W,,Marco,0,,,false,,Amanda,3,,,false
X,,Corley,2,,,false,,Micah,0,,,false
Y,,Ducky,0,,,false,,Corley,3,,,false
Z,,Amanda,1,,,false,,Micah,0,,,false
AA,,somewes,2,,,false,,doodooheadjones,0,,,false
AB,,Marco,0,,,false,,Justin,3,,,false
