Match Identifier,Top Player Prefix,Top Player Name,Top Player Stocks,Top Player Character,Top Player Character IDs,Top Player DQ,Bottom Player Prefix,Bottom Player Name,Bottom Player Stocks,Bottom Player Character,Bottom Player Character IDs,Bottom Player DQ
A,,bye,0,,,false,,corley,0,,,false
B,,amanda,3,,,false,,matt,1,,,false
C,,qp,1,,,false,,Kenny,3,,,false
D,,wes,3,,,false,,Poopypants,0,,,false
E,,Kenny,0,,,false,,wes,3,,,false
F,,Poopypants,0,,,false,,bye,0,,,false
G,,matt,1,,,false,,qp,3,,,false
H,,corley,3,,,false,,amanda,1,,,false
I,,wes,0,,,false,,matt,3,,,false
J,,qp,3,,,false,,corley,1,,,false
K,,bye,0,,,false,,amanda,0,,,false
L,,Poopypants,3,,,false,,Kenny,1,,,false
M,,amanda,0,,,false,,qp,3,,,false
N,,matt,2,,,false,,Poopypants,3,,,false
O,,corley,1,,,false,,wes,3,,,false
P,,Kenny,0,,,false,,bye,0,,,false
Q,,Kenny,0,,,false,,matt,3,,,false
R,,wes,2,,,false,,amanda,3,,,false
S,,Poopypants,1,,,false,,corley,3,,,false
T,,bye,0,,,false,,qp,0,,,false
U,,amanda,1,,,false,,Poopypants,3,,,false
V,,corley,3,,,false,,Kenny,2,,,false
W,,matt,0,,,false,,bye,0,,,false
X,,qp,0,,,false,,wes,3,,,false
Y,,Poopypants,0,,,false,,qp,3,,,false
Z,,bye,0,,,false,,wes,0,,,false
AA,,Kenny,1,,,false,,amanda,3,,,false
AB,,matt,1,,,false,,corley,3,,,false
