Match Identifier,Top Player Prefix,Top Player Name,Top Player Stocks,Top Player Character,Top Player Character IDs,Top Player DQ,Bottom Player Prefix,Bottom Player Name,Bottom Player Stocks,Bottom Player Character,Bottom Player Character IDs,Bottom Player DQ
A,,marco,1,,,false,,corley,3,,,false
B,,wes,0,,,false,,skelley,0,,,false
C,,jd,0,,,false,,Laura,0,,,false
D,,josh,3,,,false,,amanda,0,,,false
E,,Laura,0,,,false,,josh,0,,,false
F,,amanda,1,,,false,,marco,3,,,false
G,,skelley,0,,,false,,jd,0,,,false
H,,corley,2,,,false,,wes,3,,,false
I,,josh,0,,,false,,skelley,0,,,false
J,,jd,0,,,false,,corley,3,,,false
K,,marco,0,,,false,,wes,3,,,false
L,,amanda,0,,,false,,Laura,0,,,false
M,,wes,3,,,false,,jd,0,,,false
N,,skelley,0,,,false,,amanda,0,,,false
O,,corley,3,,,false,,josh,0,,,false
P,,Laura,0,,,false,,marco,0,,,false
Q,,Laura,0,,,false,,skelley,0,,,false
R,,josh,0,,,false,,wes,3,,,false
S,,amanda,1,,,false,,corley,3,,,false
T,,marco,3,,,false,,jd,0,,,false
U,,wes,3,,,false,,amanda,1,,,false
V,,corley,0,,,false,,Laura,0,,,false
W,,skelley,0,,,false,,marco,0,,,false
X,,jd,1,,,false,,josh,3,,,false
Y,,amanda,0,,,false,,jd,3,,,false
Z,,marco,2,,,false,,josh,3,,,false
AA,,Laura,0,,,false,,wes,0,,,false
AB,,skelley,0,,,false,,corley,0,,,false
