Match Identifier,Top Player Prefix,Top Player Name,Top Player Stocks,Top Player Character,Top Player Character IDs,Top Player DQ,Bottom Player Prefix,Bottom Player Name,Bottom Player Stocks,Bottom Player Character,Bottom Player Character IDs,Bottom Player DQ
A,,Amanda,0,,,false,,corley,3,,,false
B,,marco,3,,,false,,dj,0,,,false
C,,jd,3,,,false,,josh,0,,,false
D,,wes,3,,,false,,POO,0,,,false
E,,josh,1,,,false,,wes,3,,,false
F,,dj,3,,,false,,jd,1,,,false
G,,corley,1,,,false,,marco,3,,,false
H,,duck,3,,,false,,Amanda,2,,,false
I,,marco,2,,,false,,duck,3,,,false
J,,jd,0,,,false,,corley,3,,,false
K,,wes,3,,,false,,dj,1,,,false
L,,POO,1,,,false,,josh,3,,,false
M,,dj,1,,,false,,POO,3,,,false
N,,corley,0,,,false,,wes,3,,,false
O,,duck,1,,,false,,jd,3,,,false
P,,Amanda,0,,,false,,marco,3,,,false
Q,,jd,3,,,false,,Amanda,2,,,false
R,,wes,3,,,false,,duck,1,,,false
S,,POO,3,,,false,,corley,2,,,false
T,,josh,3,,,false,,dj,0,,,false
U,,corley,2,,,false,,josh,3,,,false
V,,duck,3,,,false,,POO,1,,,false
W,,Amanda,0,,,false,,wes,3,,,false
X,,marco,2,,,false,,jd,3,,,false
Y,,wes,3,,,false,,marco,0,,,false
Z,,POO,3,,,false,,Amanda,0,,,false
AA,,josh,3,,,false,,duck,2,,,false
AB,,dj,0,,,false,,corley,0,,,false
AC,,duck,0,,,false,,dj,0,,,false
AD,,Amanda,0,,,false,,josh,3,,,false
AE,,marco,3,,,false,,POO,0,,,false
AF,,jd,2,,,false,,wes,3,,,false
AG,,POO,2,,,false,,jd,3,,,false
AH,,josh,2,,,false,,marco,3,,,false
AI,,dj,0,,,false,,Amanda,0,,,false
AJ,,corley,3,,,false,,duck,1,,,false
