Match Identifier,Top Player Prefix,Top Player Name,Top Player Stocks,Top Player Character,Top Player Character IDs,Top Player DQ,Bottom Player Prefix,Bottom Player Name,Bottom Player Stocks,Bottom Player Character,Bottom Player Character IDs,Bottom Player DQ
A,,laura,3,,,false,,mal,"1,3",,,false
B,,josh,3,,,false,,amanda,"2,3",,,false
C,,corley,3,,,false,,laura,"0,3",,,false
D,,wes,3,,,false,,josh,"0,3",,,false
E,,corley,0,,,false,,wes,"3,3",,,false
H,,josh,3,,,false,,mal,"0,3",,,false
I,,laura,3,,,false,,amanda,"2,0",,,false
J,,josh,3,,,false,,laura,"2,3",,,false
K,,corley,2,,,false,,josh,"3,3",,,false
F,,wes,1,,,false,,corley,"5,5",,,false
