Match Identifier,Top Player Prefix,Top Player Name,Top Player Stocks,Top Player Character,Top Player Character IDs,Top Player DQ,Bottom Player Prefix,Bottom Player Name,Bottom Player Stocks,Bottom Player Character,Bottom Player Character IDs,Bottom Player DQ
A,,BYE,0,,,false,,corley,0,,,false
B,,wes,3,,,false,,josh,2,,,false
C,,marco,3,,,false,,poolady,0,,,false
D,,jd,3,,,false,,bobbie,0,,,false
E,,poolady,3,,,false,,jd,0,,,false
F,,bobbie,0,,,false,,BYE,0,,,false
G,,josh,3,,,false,,marco,0,,,false
H,,corley,1,,,false,,wes,3,,,false
I,,jd,1,,,false,,josh,3,,,false
J,,marco,3,,,false,,corley,0,,,false
K,,BYE,0,,,false,,wes,0,,,false
L,,bobbie,1,,,false,,poolady,3,,,false
M,,wes,3,,,false,,marco,0,,,false
N,,josh,3,,,false,,bobbie,0,,,false
O,,corley,2,,,false,,jd,3,,,false
P,,poolady,0,,,false,,BYE,0,,,false
Q,,poolady,0,,,false,,josh,3,,,false
R,,jd,3,,,false,,wes,2,,,false
S,,bobbie,0,,,false,,corley,0,,,false
T,,BYE,0,,,false,,marco,0,,,false
U,,wes,3,,,false,,bobbie,0,,,false
V,,corley,3,,,false,,poolady,1,,,false
W,,josh,0,,,false,,BYE,0,,,false
X,,marco,3,,,false,,jd,2,,,false
Y,,bobbie,0,,,false,,marco,3,,,false
Z,,BYE,0,,,false,,jd,0,,,false
AA,,poolady,3,,,false,,wes,0,,,false
AB,,josh,3,,,false,,corley,0,,,false
