Match Identifier,Top Player Prefix,Top Player Name,Top Player Stocks,Top Player Character,Top Player Character IDs,Top Player DQ,Bottom Player Prefix,Bottom Player Name,Bottom Player Stocks,Bottom Player Character,Bottom Player Character IDs,Bottom Player DQ
A,,Johnny,1,,,false,,Chayan,2,,,false
B,,Fran,2,,,false,,Vera,1,,,false
C,,Nsama,3,,,false,,Eli,0,,,false
D,,Vera,2,,,false,,Nsama,1,,,false
E,,Eli,2,,,false,,Johnny,1,,,false
F,,Chayan,2,,,false,,Fran,1,,,false
G,,Eli,0,,,false,,Vera,3,,,false
H,,Nsama,1,,,false,,Chayan,2,,,false
I,,Johnny,0,,,false,,Fran,3,,,false
J,,Fran,1,,,false,,Nsama,2,,,false
K,,Chayan,3,,,false,,Eli,0,,,false
L,,Vera,3,,,false,,Johnny,0,,,false
M,,Eli,1,,,false,,Fran,2,,,false
N,,Johnny,2,,,false,,Nsama,1,,,false
O,,Vera,2,,,false,,Chayan,1,,,false
