Match Identifier,Top Player Prefix,Top Player Name,Top Player Stocks,Top Player Character,Top Player Character IDs,Top Player DQ,Bottom Player Prefix,Bottom Player Name,Bottom Player Stocks,Bottom Player Character,Bottom Player Character IDs,Bottom Player DQ
A,,Wes,3,,,false,,Travis,"1,3",,,false
B,,Jen,1,,,false,,Laura,"3,1",,,false
C,,TJ,3,,,false,,Madison,"0,3",,,false
D,,Bobbie,3,,,false,,Don,"0,1",,,false
E,,Corley,3,,,false,,Chase,"2,3",,,false
F,,Parker,3,,,false,,Cellar Boy,"2,3",,,false
G,,Josh,3,,,false,,Rachel,"2,2",,,false
H,,Amanda,3,,,false,,Hudson,"1,3",,,false
I,,Wes,3,,,false,,Laura,"0,3",,,false
J,,TJ,3,,,false,,Don,"1,3",,,false
K,,Corley,2,,,false,,Parker,"3,3",,,false
L,,Josh,2,,,false,,Amanda,"3,0",,,false
M,,Wes,3,,,false,,TJ,"2,3",,,false
N,,Corley,3,,,false,,Amanda,"0,3",,,false
O,,Wes,3,,,false,,Corley,"2,3",,,false
R,,Travis,3,,,false,,Jen,"2,3",,,false
S,,Madison,2,,,false,,Bobbie,"3,2",,,false
T,,Chase,3,,,false,,Cellar Boy,"2,3",,,false
U,,Rachel,3,,,false,,Hudson,"0,0",,,false
V,,Josh,2,,,false,,Travis,"3,1",,,false
W,,Parker,3,,,false,,Bobbie,"0,3",,,false
X,,Don,2,,,false,,Chase,"3,3",,,false
Y,,Laura,3,,,false,,Hudson,"0,1",,,false
Z,,Travis,1,,,false,,Parker,0,,,false
AA,,Chase,3,,,false,,Hudson,"0,1",,,false
AB,,TJ,3,,,false,,Travis,"0,3",,,false
AC,,Amanda,2,,,false,,Chase,"3,2",,,false
AD,,TJ,3,,,false,,Chase,"2,3",,,false
AE,,Corley,3,,,false,,TJ,"2,3",,,false
P,,Wes,5,,,false,,Corley,"4,5",,,false
