Match Identifier,Top Player Prefix,Top Player Name,Top Player Stocks,Top Player Character,Top Player Character IDs,Top Player DQ,Bottom Player Prefix,Bottom Player Name,Bottom Player Stocks,Bottom Player Character,Bottom Player Character IDs,Bottom Player DQ
A,,ur mom1,0,,,false,,Kelsi,1,,,false
B,,Slicefury,1,,,false,,Seth,0,,,false
C,,Bryan W,0,,,false,,Bryan M,1,,,false
D,,Brianna,1,,,false,,Nick,0,,,false
E,,Nick P,0,,,false,,Ara,1,,,false
F,,Colin,0,,,false,,Jacob,1,,,false
G,,Joji,1,,,false,,Kelsi,0,,,false
H,,Slicefury,0,,,false,,Bryan M,1,,,false
I,,Dade,0,,,false,,Brianna,1,,,false
J,,Ara,0,,,false,,Jacob,1,,,false
K,,Joji,0,,,false,,Bryan M,1,,,false
L,,Brianna,1,,,false,,Jacob,0,,,false
M,,Bryan M,1,,,false,,Brianna,0,,,false
P,,Seth,0,,,false,,Bryan W,1,,,false
Q,,Nick P,0,,,false,,Colin,1,,,false
R,,Ara,1,,,false,,ur mom1,0,,,false
S,,Dade,1,,,false,,Bryan W,0,,,false
T,,Slicefury,1,,,false,,Nick,0,,,false
U,,Kelsi,0,,,false,,Colin,1,,,false
V,,Ara,0,,,false,,Dade,1,,,false
W,,Slicefury,1,,,false,,Colin,0,,,false
X,,Joji,0,,,false,,Dade,1,,,false
Y,,Jacob,1,,,false,,Slicefury,0,,,false
Z,,Dade,0,,,false,,Jacob,1,,,false
AA,,Brianna,0,,,false,,Jacob,1,,,false
N,,Bryan M,1,,,false,,Jacob,0,,,false
