Match Identifier,Top Player Prefix,Top Player Name,Top Player Stocks,Top Player Character,Top Player Character IDs,Top Player DQ,Bottom Player Prefix,Bottom Player Name,Bottom Player Stocks,Bottom Player Character,Bottom Player Character IDs,Bottom Player DQ
A,,Ellie,3,,,false,,Jade,0,,,false
B,,SoaringSloth,3,,,false,,Clover,2,,,false
C,,keucher,1,,,false,,Ellie,3,,,false
D,,Oakley,1,,,false,,Impossiblank,3,,,false
E,,Mrlink2k,3,,,false,,SoaringSloth,0,,,false
F,,willyjwillyj,3,,,false,,raxdflipnote,1,,,false
G,,Ellie,0,,,false,,Impossiblank,3,,,false
H,,Mrlink2k,3,,,false,,willyjwillyj,1,,,false
I,,Impossiblank,2,,,false,,Mrlink2k,3,,,false
L,,raxdflipnote,0,,,false,,Jade,3,,,false
M,,Oakley,2,,,false,,Clover,3,,,false
N,,SoaringSloth,3,,,false,,Jade,1,,,false
O,,keucher,3,,,false,,Clover,0,,,false
P,,Ellie,2,,,false,,SoaringSloth,3,,,false
Q,,willyjwillyj,1,,,false,,keucher,3,,,false
R,,SoaringSloth,1,,,false,,keucher,3,,,false
S,,Impossiblank,2,,,false,,keucher,3,,,false
J,,Mrlink2k,3,,,false,,keucher,2,,,false
