Match Identifier,Top Player Prefix,Top Player Name,Top Player Stocks,Top Player Character,Top Player Character IDs,Top Player DQ,Bottom Player Prefix,Bottom Player Name,Bottom Player Stocks,Bottom Player Character,Bottom Player Character IDs,Bottom Player DQ
A,,Turbo,2,,,false,,nickyD,1,,,false
B,,Alex Hogan,0,,,false,,TC$,2,,,false
C,,Sky grilliot,0,,,false,,TJ Carson,1,,,false
D,,Ryan P,1,,,false,,Andrew Dotson,0,,,false
E,,Eduardo Gabriel Martinez Banda,2,,,false,,dammitmalloy,1,,,false
F,,Klutz,0,,,false,,_segfault_,2,,,false
G,,Bree,1,,,false,,Mario Herrera,2,,,false
H,,Jeff Hochgesang,0,,,false,,DBHTX FOUNDER,2,,,false
I,,Dylan Lee ⭐️,0,,,false,,KristianAndrewson,2,,,false
J,,Richard [DFW],0,,,false,,Gex (Burton),2,,,false
K,,Shipwash,0,,,false,,Christopher Corley,2,,,false
L,,Hexanimo,0,,,false,,Turbo,2,,,false
M,,TC$,2,,,false,,TJ Carson,0,,,false
N,,Joshua Wade Freeman,2,,,false,,Ryan P,0,,,false
O,,Waterm3lon,0,,,false,,Eduardo Gabriel Martinez Banda,2,,,false
P,,combonation,2,,,false,,_segfault_,0,,,false
Q,,Mario Herrera,0,,,false,,DBHTX FOUNDER,2,,,false
R,,Rand,0,,,false,,KristianAndrewson,2,,,false
S,,Gex (Burton),0,,,false,,Christopher Corley,2,,,false
T,,Turbo,0,,,false,,TC$,2,,,false
U,,Joshua Wade Freeman,0,,,false,,Eduardo Gabriel Martinez Banda,2,,,false
V,,combonation,1,,,false,,DBHTX FOUNDER,2,,,false
W,,KristianAndrewson,0,,,false,,Christopher Corley,2,,,false
X,,TC$,2,,,false,,Eduardo Gabriel Martinez Banda,0,,,false
Y,,DBHTX FOUNDER,2,,,false,,Christopher Corley,1,,,false
Z,,TC$,2,,,false,,DBHTX FOUNDER,1,,,false
AC,,Alex Hogan,1,,,false,,Sky grilliot,0,,,false
AD,,Bree,2,,,false,,Jeff Hochgesang,0,,,false
AE,,Richard [DFW],0,,,false,,Shipwash,2,,,false
AF,,Gex (Burton),0,,,false,,nickyD,2,,,false
AG,,Rand,0,,,false,,Alex Hogan,2,,,false
AH,,Mario Herrera,2,,,false,,Andrew Dotson,0,,,false
AI,,_segfault_,0,,,false,,dammitmalloy,2,,,false
AJ,,Waterm3lon,2,,,false,,Klutz,0,,,false
AK,,Ryan P,0,,,false,,Bree,2,,,false
AL,,TJ Carson,2,,,false,,Dylan Lee ⭐️,0,,,false
AM,,Hexanimo,1,,,false,,Shipwash,2,,,false
AN,,nickyD,2,,,false,,Alex Hogan,0,,,false
AO,,Mario Herrera,0,,,false,,dammitmalloy,2,,,false
AP,,Waterm3lon,2,,,false,,Bree,0,,,false
AQ,,TJ Carson,2,,,false,,Shipwash,0,,,false
AR,,Joshua Wade Freeman,1,,,false,,nickyD,2,,,false
AS,,Turbo,0,,,false,,dammitmalloy,2,,,false
AT,,KristianAndrewson,1,,,false,,Waterm3lon,2,,,false
AU,,combonation,2,,,false,,TJ Carson,1,,,false
AV,,nickyD,0,,,false,,dammitmalloy,2,,,false
AW,,Waterm3lon,0,,,false,,combonation,2,,,false
AX,,Christopher Corley,2,,,false,,dammitmalloy,1,,,false
AY,,Eduardo Gabriel Martinez Banda,0,,,false,,combonation,2,,,false
AZ,,Christopher Corley,2,,,false,,combonation,1,,,false
BA,,DBHTX FOUNDER,2,,,false,,Christopher Corley,0,,,false
AA,,TC$,2,,,false,,DBHTX FOUNDER,0,,,false
