Match Identifier,Top Player Prefix,Top Player Name,Top Player Stocks,Top Player Character,Top Player Character IDs,Top Player DQ,Bottom Player Prefix,Bottom Player Name,Bottom Player Stocks,Bottom Player Character,Bottom Player Character IDs,Bottom Player DQ
A,,Logan Brewer,1,,,false,,Marshkie,0,,,false
B,,Kyle Kennedy,0,,,false,,Jessie Kennedy,1,,,false
C,,BB Waffles,0,,,false,,Logan Brewer,1,,,false
D,,Blind Diplodocus,0,,,false,,REDRAM,1,,,false
E,,Diantro,0,,,false,,Perception,1,,,false
F,,Pyromancer3D,0,,,false,,Colin,1,,,false
G,,KirboBuns,0,,,false,,Jessie Kennedy,1,,,false
H,,Numberfourteen,0,,,false,,D.Owls,1,,,false
I,,HyonkTea,1,,,false,,Atrainn,0,,,false
J,,Adappy,0,,,false,,Fox,1,,,false
K,,Logan Brewer,1,,,false,,REDRAM,0,,,false
L,,Perception,1,,,false,,Colin,0,,,false
M,,Jessie Kennedy,0,,,false,,D.Owls,1,,,false
N,,HyonkTea,1,,,false,,Fox,0,,,false
O,,Logan Brewer,0,,,false,,Perception,1,,,false
P,,D.Owls,1,,,false,,HyonkTea,0,,,false
Q,,Perception,1,,,false,,D.Owls,0,,,false
