Match Identifier,Top Player Prefix,Top Player Name,Top Player Stocks,Top Player Character,Top Player Character IDs,Top Player DQ,Bottom Player Prefix,Bottom Player Name,Bottom Player Stocks,Bottom Player Character,Bottom Player Character IDs,Bottom Player DQ
A,,BB Wafflez,0,,,false,,Pizza Girl,1,,,false
B,,Dracowulf,1,,,false,,Kbld,0,,,false
C,,D-Overmind,1,,,false,,2CON,0,,,false
D,,Download Viruses,1,,,false,,Sneakyteak,0,,,false
E,,D.Owls,1,,,false,,Ankle,0,,,false
F,,fartsniffa,0,,,false,,I’mDirtyDan,1,,,false
G,,HyonkTea,1,,,false,,Pizza Girl,0,,,false
H,,Dracowulf,0,,,false,,D-Overmind,1,,,false
I,,Logan Brewer,1,,,false,,Download Viruses,0,,,false
J,,D.Owls,1,,,false,,I’mDirtyDan,0,,,false
K,,HyonkTea,1,,,false,,D-Overmind,0,,,false
L,,Logan Brewer,0,,,false,,D.Owls,1,,,false
M,,HyonkTea,0,,,false,,D.Owls,1,,,false
