Match Identifier,Top Player Prefix,Top Player Name,Top Player Stocks,Top Player Character,Top Player Character IDs,Top Player DQ,Bottom Player Prefix,Bottom Player Name,Bottom Player Stocks,Bottom Player Character,Bottom Player Character IDs,Bottom Player DQ
A,,Ethan,1,,,false,,stephen,0,,,false
B,,Bryan,1,,,false,,Joshua,0,,,false
C,,Elena,1,,,false,,Ryan,0,,,false
D,,Ortega,1,,,false,,Ara,0,,,false
E,,Seth,1,,,false,,spoom,0,,,false
F,,Fred,0,,,false,,Kylie,1,,,false
G,,Darian,0,,,false,,Brianna,1,,,false
H,,Mike,0,,,false,,Jordan,1,,,false
I,,Ethan,0,,,false,,Bryan,1,,,false
J,,Elena,0,,,false,,Ortega,1,,,false
K,,Seth,0,,,false,,Kylie,1,,,false
L,,Brianna,0,,,false,,Jordan,1,,,false
M,,Bryan,1,,,false,,Ortega,0,,,false
N,,Kylie,1,,,false,,Jordan,0,,,false
O,,Bryan,,,,false,,Kylie,,,,false
R,,stephen,,,,false,,Joshua,,,,false
S,,Ryan,,,,false,,Ara,,,,false
T,,spoom,,,,false,,Fred,,,,false
U,,Darian,,,,false,,Mike,,,,false
V,,Brianna,,,,false,,,,,,false
W,,Seth,,,,false,,,,,,false
X,,Elena,,,,false,,,,,,false
Y,,Ethan,,,,false,,,,,,false
Z,,,,,,false,,,,,,false
AA,,,,,,false,,,,,,false
AB,,Ortega,,,,false,,,,,,false
AC,,Jordan,,,,false,,,,,,false
AD,,,,,,false,,,,,,false
AE,,,,,,false,,,,,,false
P,,,,,,false,,,,,,false
Q,,,,,,false,,,,,,false
