Match Identifier,Top Player Prefix,Top Player Name,Top Player Stocks,Top Player Character,Top Player Character IDs,Top Player DQ,Bottom Player Prefix,Bottom Player Name,Bottom Player Stocks,Bottom Player Character,Bottom Player Character IDs,Bottom Player DQ
A,,ashmichda,0,,,false,,Gorillawarfare,1,,,false
B,,RiDawg,1,,,false,,bobob,0,,,false
C,,zGamuT,0,,,false,,Mike_D3,1,,,false
D,,jukatox,0,,,false,,Hedonic,1,,,false
E,,mrlink2k,1,,,false,,Gorillawarfare,0,,,false
F,,Turkey,1,,,false,,jade,0,,,false
G,,something_dumber (ellie),1,,,false,,CookieCake,0,,,false
H,,XanderIsALoser,0,,,false,,2_Percent_Chungus,1,,,false
I,,RHEASTARGIRL,1,,,false,,JohannVonVorst,0,,,false
J,,Leough,0,,,false,,Cabbage72,1,,,false
K,,dotmaster,0,,,false,,Quoshi,1,,,false
L,,_sorbet,,,,false,,Nambo_,1,,,false
M,,keucher,1,,,false,,RiDawg,0,,,false
N,,FlammableFlowMC,0,,,false,,alex_schmalex,1,,,false
O,,dirtd,1,,,false,,mnemosynia,0,,,false
P,,dreaded_,0,,,false,,Sear,1,,,false
Q,,Jaq3,1,,,false,,Boyo003,0,,,false
R,,FrenchToast1,1,,,false,,Laura Lazuli,0,,,false
S,,SamuelJH,0,,,false,,Goodguy3,,,,false
T,,Badroenis,1,,,false,,MikeD,0,,,false
U,,Mr_Skoots,0,,,false,,Mike_D3,,,,false
V,,Fridge,1,,,false,,TechnicallySupport,0,,,false
W,,GTAce,1,,,false,,CB,0,,,false
X,,wooffledee,0,,,false,,Suspicious Door,1,,,false
Y,,willyjwillyj,1,,,false,,Crystal Shyps,0,,,false
Z,,BobbyJukes,1,,,false,,CoreHawk,0,,,false
AA,,impossablank,1,,,false,,Elipsis,0,,,false
AB,,kreal8,,,,false,,Gooby,1,,,false
AC,,zachaction,1,,,false,,Hedonic,0,,,false
AD,,legacy_dave,1,,,false,,DylCat_,0,,,false
AE,,HeartOfOak,1,,,false,,John+John,0,,,false
AF,,30Aces,1,,,false,,OysterSA,0,,,false
AG,,Hackakat,1,,,false,,SorcererSeige,0,,,false
AH,,IdeasBeforeBed,0,,,false,,CrayFray,1,,,false
AI,,Queen_Magnolia,1,,,false,,Dmt Goobz,0,,,false
AJ,,elise224,0,,,false,,MoistWater57,,,,false
AK,,mrlink2k,1,,,false,,Turkey,0,,,false
AL,,something_dumber (ellie),1,,,false,,2_Percent_Chungus,0,,,false
AM,,RHEASTARGIRL,1,,,false,,Cabbage72,0,,,false
AN,,Quoshi,0,,,false,,Nambo_,1,,,false
AO,,keucher,1,,,false,,alex_schmalex,0,,,false
AP,,dirtd,1,,,false,,Sear,0,,,false
AQ,,Jaq3,1,,,false,,FrenchToast1,0,,,false
AR,,SamuelJH,0,,,false,,Badroenis,1,,,false
AS,,Mr_Skoots,1,,,false,,Fridge,0,,,false
AT,,GTAce,1,,,false,,Suspicious Door,0,,,false
AU,,willyjwillyj,1,,,false,,BobbyJukes,0,,,false
AV,,impossablank,1,,,false,,Gooby,0,,,false
AW,,zachaction,1,,,false,,legacy_dave,0,,,false
AX,,HeartOfOak,1,,,false,,30Aces,0,,,false
AY,,Hackakat,1,,,false,,CrayFray,0,,,false
AZ,,Queen_Magnolia,1,,,false,,elise224,0,,,false
BA,,mrlink2k,1,,,false,,something_dumber (ellie),0,,,false
BB,,RHEASTARGIRL,1,,,false,,Nambo_,0,,,false
BC,,keucher,1,,,false,,dirtd,0,,,false
BD,,Jaq3,1,,,false,,Badroenis,0,,,false
BE,,Mr_Skoots,1,,,false,,GTAce,0,,,false
BF,,willyjwillyj,1,,,false,,impossablank,0,,,false
BG,,zachaction,1,,,false,,HeartOfOak,0,,,false
BH,,Hackakat,1,,,false,,Queen_Magnolia,0,,,false
BI,,mrlink2k,2,,,false,,RHEASTARGIRL,1,,,false
BJ,,keucher,2,,,false,,Jaq3,1,,,false
BK,,Mr_Skoots,2,,,false,,willyjwillyj,0,,,false
BL,,zachaction,2,,,false,,Hackakat,1,,,false
BM,,mrlink2k,2,,,false,,keucher,1,,,false
BN,,Mr_Skoots,1,,,false,,zachaction,2,,,false
BO,,mrlink2k,0,,,false,,zachaction,2,,,false
BR,,MoistWater57,,,,false,,ashmichda,1,,,false
BS,,kreal8,,,,false,,bobob,1,,,false
BT,,MikeD,0,,,false,,zGamuT,1,,,false
BU,,_sorbet,,,,false,,jukatox,1,,,false
BV,,Dmt Goobz,1,,,false,,ashmichda,0,,,false
BW,,IdeasBeforeBed,0,,,false,,SorcererSeige,1,,,false
BX,,OysterSA,0,,,false,,John+John,1,,,false
BY,,DylCat_,,,,false,,Hedonic,1,,,false
BZ,,Elipsis,1,,,false,,bobob,0,,,false
CA,,CoreHawk,0,,,false,,Crystal Shyps,1,,,false
CB,,wooffledee,0,,,false,,CB,1,,,false
CC,,TechnicallySupport,0,,,false,,Mike_D3,,,,false
CD,,Goodguy3,,,,false,,zGamuT,1,,,false
CE,,Laura Lazuli,1,,,false,,Boyo003,0,,,false
CF,,dreaded_,0,,,false,,mnemosynia,1,,,false
CG,,FlammableFlowMC,0,,,false,,RiDawg,1,,,false
CH,,dotmaster,1,,,false,,jukatox,0,,,false
CI,,Leough,1,,,false,,JohannVonVorst,0,,,false
CJ,,XanderIsALoser,0,,,false,,CookieCake,1,,,false
CK,,jade,,,,false,,Gorillawarfare,1,,,false
CL,,SamuelJH,1,,,false,,Dmt Goobz,0,,,false
CM,,FrenchToast1,1,,,false,,SorcererSeige,0,,,false
CN,,Sear,1,,,false,,John+John,0,,,false
CO,,alex_schmalex,1,,,false,,Hedonic,0,,,false
CP,,Quoshi,0,,,false,,Elipsis,1,,,false
CQ,,Cabbage72,1,,,false,,Crystal Shyps,0,,,false
CR,,2_Percent_Chungus,0,,,false,,CB,1,,,false
CS,,Turkey,1,,,false,,TechnicallySupport,0,,,false
CT,,elise224,0,,,false,,zGamuT,1,,,false
CU,,CrayFray,0,,,false,,Laura Lazuli,1,,,false
CV,,30Aces,0,,,false,,mnemosynia,1,,,false
CW,,legacy_dave,0,,,false,,RiDawg,1,,,false
CX,,Gooby,0,,,false,,dotmaster,1,,,false
CY,,BobbyJukes,0,,,false,,Leough,1,,,false
CZ,,Suspicious Door,1,,,false,,CookieCake,0,,,false
DA,,Fridge,0,,,false,,Gorillawarfare,1,,,false
DB,,SamuelJH,1,,,false,,FrenchToast1,0,,,false
DC,,Sear,0,,,false,,alex_schmalex,1,,,false
DD,,Elipsis,1,,,false,,Cabbage72,0,,,false
DE,,CB,0,,,false,,Turkey,1,,,false
DF,,zGamuT,1,,,false,,Laura Lazuli,0,,,false
DG,,mnemosynia,1,,,false,,RiDawg,0,,,false
DH,,dotmaster,1,,,false,,Leough,0,,,false
DI,,Suspicious Door,1,,,false,,Gorillawarfare,0,,,false
DJ,,GTAce,0,,,false,,SamuelJH,1,,,false
DK,,impossablank,1,,,false,,alex_schmalex,0,,,false
DL,,HeartOfOak,0,,,false,,Elipsis,1,,,false
DM,,Queen_Magnolia,0,,,false,,Turkey,1,,,false
DN,,something_dumber (ellie),1,,,false,,zGamuT,0,,,false
DO,,Nambo_,1,,,false,,mnemosynia,0,,,false
DP,,dirtd,1,,,false,,dotmaster,0,,,false
DQ,,Badroenis,0,,,false,,Suspicious Door,1,,,false
DR,,SamuelJH,0,,,false,,impossablank,1,,,false
DS,,Elipsis,1,,,false,,Turkey,0,,,false
DT,,something_dumber (ellie),1,,,false,,Nambo_,0,,,false
DU,,dirtd,1,,,false,,Suspicious Door,0,,,false
DV,,RHEASTARGIRL,2,,,false,,impossablank,0,,,false
DW,,Jaq3,2,,,false,,Elipsis,1,,,false
DX,,willyjwillyj,2,,,false,,something_dumber (ellie),0,,,false
DY,,Hackakat,2,,,false,,dirtd,0,,,false
DZ,,RHEASTARGIRL,1,,,false,,Jaq3,2,,,false
EA,,willyjwillyj,0,,,false,,Hackakat,2,,,false
EB,,Mr_Skoots,2,,,false,,Jaq3,0,,,false
EC,,keucher,2,,,false,,Hackakat,0,,,false
ED,,Mr_Skoots,2,,,false,,keucher,1,,,false
EE,,mrlink2k,0,,,false,,Mr_Skoots,2,,,false
BP,,zachaction,3,,,false,,Mr_Skoots,0,,,false
