Player,Wins,Losses,Games Played,Win %,Location,Tournament Count,Tournaments
SkitsSkoots,12,0,12,100.0,"Elkader, IA",2,"DeathBall tournament; ComboBreaker DeathBall Tournament"
mrlink2k,11,0,11,100.0,,2,"Deathball buddy bracket; SGDQ 2025 - DeathBall"
Bryan M,9,0,9,100.0,,2,"Mead Round 2 death ball; Deathball 6/26"
Matt w,5,0,5,100.0,,1,DeathBall
Brandon Johnson,5,0,5,100.0,,1,dbcampkq
TurkishPepis,5,0,5,100.0,,1,Inaugural  DeathBallMPLS Showdown @ BauhausBrewLabs
Blockduuuuude,5,0,5,100.0,,1,DeathBall @ Free Play
Vern,5,0,5,100.0,,2,"Deathball march 3/12/26; Fort Brewery Deathball 4/9/2026"
JamesPod,5,0,5,100.0,"Livonia, MI",1,Psychic Drive Arcade Tournaments @Youma2025
Jack J,4,0,4,100.0,,1,DeathBall
Taylor Christianson,4,0,4,100.0,,1,Baltimore Brawl DeathBall Tourney
Perception,4,0,4,100.0,,1,QuakeCon 2025 DeathBall
looper_siffrin,4,0,4,100.0,"Denton, TX",1,Yomi 162
Cellshine,3,0,3,100.0,,1,28th Annual Deathball Tournament
Micky,3,0,3,100.0,,1,DeathBall @ Free Play
Kylie,3,0,3,100.0,,1,DeathBall Tourney
Brian,3,0,3,100.0,,1,DeathBall GDC
Dan,3,0,3,100.0,,1,DeathBall @ Leaderboard Shad #5
Raven,1,0,1,100.0,,1,Talon Fundraiser DEATHBALL
Dylan,1,0,1,100.0,,1,DeathBall GDC
Bryan,16,1,17,94.1,,4,"Deathball 10/16; The one and only Death; 3 nations pint night; DeathBall Tourney"
Josh Freeman,19,2,21,90.5,,5,"Deathball - 12/03/24; deathball 11-26-24; 11-19-24 Deathball Keg and Coin; deathball 11-05-24; FH 2024 Deathball"
somewes,149,19,168,88.7,,34,"BB4 Deathball Swiss; Bb4 db finals; llglory; 2019 May League Week 1; 2019 May League Week 2; 2019 May League Week 3; 2019 May League Week 4; 2019 May League Tournament; 2019 June League Week 1; 2019 June League Week 2; 2019 June League Week 3; 2019 June League Week 4; 2019 July League Week 1; 2019 July League Week 4; DBC 2; 2019 August League Week 1; 2019 August League Week 2; DBC 3; 2019 August League Week 4; 2019 September League Week 1; 2019 September League Week 2; DBC 4; 2019 October League Week 1; 2019 October League Week 2; 2019 October League Week 4; DBC 5; 2019 Holiday Season League Week 2; 2019 Holiday Season League Week 3; 2019 Holiday Season Week 5; DBC 6; llglory; DBC 7; DBC 8; DBC9"
Colby Price,7,1,8,87.5,,2,"dbcampkq; Deathball GDC 1"
Craig,7,1,8,87.5,,1,DeathBall #1 : Battle of CQ
D.Owls,7,1,8,87.5,,2,"QuakeCon 2025 DeathBall; QuakeCon 2025 Saturday DeathBall"
Chris Baldwin,12,2,14,85.7,,4,"dbcampkq; Camp DeathBall; Baltimore Brawl DeathBall Tourney; DeathBall GDC"
Warner,6,1,7,85.7,,1,DeathBall PopUp tournament
HOLA,11,2,13,84.6,,3,"DBHTX 10/18/22; DBHTX - 12/20/22; DBHTX - 01/31/23"
Malloy,11,2,13,84.6,,2,"DeathBall; FH 2024 Deathball"
Zane,5,1,6,83.3,,1,DeathBall @ Leaderboard Shad #4
Hackakat,8,2,10,80.0,,1,SGDQ 2025 - DeathBall
Eduardo,4,1,5,80.0,,1,Baltimore Brawl DeathBall Tourney
Alex,4,1,5,80.0,,1,DeathBall @ Leaderboard Shad #5
Tilted then Gio,7,2,9,77.8,,1,Wednesday Unwind 03/15 - Deathball
Kalkaita,7,2,9,77.8,"Denton, TX",2,"Yomi 158; Yomi 162"
Slicefury,20,6,26,76.9,,5,"Breaking Brew Meadery Death Ball Tournament; Mead Round 2 death ball; Deathball Finale!; Deathball 6/26; Three Nations Brew Deathball!"
Nathan,21,7,28,75.0,,7,"DB LEAGUE TRIAL RUN 12/30/18; DB League trial run 2; DBJAX League Week 1; DBJAX League Week 2; DBJAX League Week 3; DBJAX League Week 4; DBJAX League Week 5"
Charli,12,4,16,75.0,,7,"DeathBall @ Free Play; WWFG Deathball; DeathBall @ Free Play; DeathBall @ Free Play; DeathBall @ Free Play; DeathBall @ Free Play; DeathBall @ Free Play"
jacoby,6,2,8,75.0,,2,"Deathball - 12/03/24; 11-19-24 Deathball Keg and Coin"
LotsaTella,6,2,8,75.0,,1,SGDQ 2025 - DeathBall
Jack s,3,1,4,75.0,,1,DeathBall
Tyler Molony,3,1,4,75.0,,1,dbcampkq
Roger,3,1,4,75.0,,2,"DeathBall @ Free Play; DeathBall @ Free Play"
Sodah,3,1,4,75.0,,1,DeathBall
Kristian,3,1,4,75.0,,1,DeathBall
Jose,3,1,4,75.0,,1,2019 Holiday Season Buddy Bracket
Patrick,3,1,4,75.0,,1,DBJAX League Week 1
Michael,8,3,11,72.7,,2,"Deathball 7/30; Deathball real 7/30"
Jaq3,10,4,14,71.4,,2,"Deathball buddy bracket; SGDQ 2025 - DeathBall"
Dan Recht,5,2,7,71.4,,1,Deathball GDC 1
Felix Yuan,5,2,7,71.4,,1,Deathball GDC 1
Alex,5,2,7,71.4,,1,Camp DeathBall
kumachine,5,2,7,71.4,,2,"Deathball; DeathBall @ Free Play"
FPA Arthur,5,2,7,71.4,,1,DeathBall @ Free Play
Bryan,5,2,7,71.4,,3,"DeathBall @ Free Play; DeathBall @ Free Play; DeathBall @ Free Play"
Jacob,5,2,7,71.4,,1,Mead Round 2 death ball
Anthony S,5,2,7,71.4,,1,The one and only Death
willyjwillyj,5,2,7,71.4,,1,SGDQ 2025 - DeathBall
zachaction,5,2,7,71.4,"Elkader, IA",1,ComboBreaker DeathBall Tournament
Sgt Spankcakes,5,2,7,71.4,"Bay City, TX",1,ComboBreaker DeathBall Tournament
Cole,5,2,7,71.4,,2,"DeathBall @ Leaderboard Shad #6; DeathBall @ Leaderboard Shad #4"
Maetrix,5,2,7,71.4,,2,"DeathBall @ Leaderboard Shad #5; DeathBall @ Leaderboard Shad #7"
Skelley,15,7,22,68.2,,4,"DeathBall PopUp tournament; 2019 May League Week 3; 2019 May League Week 4; DBC 3"
Corley,130,62,192,67.7,,39,"llglory; DeathBall tournament; DeathBall PopUp tournament; Preseason May League; 2019 May League Week 3; 2019 May League Week 4; 2019 May League Tournament; 2019 June League Week 1; 2019 June League Week 2; 2019 June League Week 3; 2019 June League Week 4; 2019 July League Week 1; 2019 July League Week 2; 2019 July League Week 3; 2019 July League Week 4; DBC 2; 2019 August League Week 1; 2019 August League Week 2; DBC 3; 2019 August League Week 3; 2019 August League Week 4; 2019 September League Week 1; 2019 September League Week 2; 2019 September League Week 4; DBC 4; 2019 October League Week 2; 2019 October League Week 3; 2019 October League Week 4; DBC 5; 2019 Holiday Season League Week 1; 2019 Holiday Season League Week 2; 2019 Holiday Season League Week 3; 2019 Holiday Season Week 5; DBC 6; llglory; DBC 7; you know; DBC 8; DBC9"
Chan,16,8,24,66.7,,5,"DB HTX - 09/27/22; DBHTX 10/18/22; DBHTX - 12/20/22; DBHTX - 01/31/23; DeathBall tournament"
keucher,8,4,12,66.7,,2,"Deathball buddy bracket; SGDQ 2025 - DeathBall"
SoaringSloth,8,4,12,66.7,"Vernon Hills, IL",2,"SGDQ 2025 - DeathBall; ComboBreaker DeathBall Tournament"
RheaStarGirl,8,4,12,66.7,"Chicago, IL",2,"SGDQ 2025 - DeathBall; ComboBreaker DeathBall Tournament"
Dylan Conrad,6,3,9,66.7,,2,"dbcampkq; Camp DeathBall"
sid,6,3,9,66.7,,2,"Deathball - 12/03/24; deathball 11-26-24"
Blake,4,2,6,66.7,,1,DeathBall #1 : Battle of CQ
Ed Gotthardt,4,2,6,66.7,,1,Deathball GDC 1
Weizenberg,4,2,6,66.7,,1,Inaugural  DeathBallMPLS Showdown @ BauhausBrewLabs
Cesar,4,2,6,66.7,,1,Camp DeathBall
J_Pong,4,2,6,66.7,,1,DeathBall @ Free Play
Mike Blomgren,4,2,6,66.7,,1,DeathBall @ Free Play
meezeed,4,2,6,66.7,,1,Baltimore Brawl DeathBall Tourney
Coke,4,2,6,66.7,,1,Wednesday Unwind 03/15 - Deathball
