Match Identifier,Top Player Prefix,Top Player Name,Top Player Stocks,Top Player Character,Top Player Character IDs,Top Player DQ,Bottom Player Prefix,Bottom Player Name,Bottom Player Stocks,Bottom Player Character,Bottom Player Character IDs,Bottom Player DQ
H,,Kalkaita,2,,,false,BN,SlickArrow,0,,,false
G,,Blue Moon,0,,,false,,Kalkaita,1,,,false
O,,Blue Moon,0,,,false,BN,SlickArrow,1,,,false
N,PlayBBCF,Shinhua,0,,,false,BN,SlickArrow,1,,,false
E,,Ethan,0,,,false,,Blue Moon,1,,,false
F,,Kalkaita,1,,,false,,Mundo,0,,,false
L,,Mundo,0,,,true,PlayBBCF,Shinhua,0,,,false
M,,Ethan,0,,,false,BN,SlickArrow,1,,,false
J,RGG | BN,Cocaine Biceps,0,,,false,PlayBBCF,Shinhua,1,,,false
K,BN,SlickArrow,1,,,false,,Meowthmix,0,,,false
A,RGG | BN,Cocaine Biceps,0,,,false,,Ethan,1,,,false
B,,Blue Moon,1,,,false,PlayBBCF,Shinhua,0,,,false
C,BN,SlickArrow,0,,,false,,Kalkaita,1,,,false
D,,Mundo,1,,,false,,Meowthmix,0,,,false
